timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
38499000,1310996,1310988,1310996,1311004,0,0.0038690409,0.004426943,0.008290419,0.0,1310996,1310988,1310996,1311004,0,0.0008069417,0.0004301682,0.0003937841,0.0,1,1,1,0,1,1,1,0
38699000,1310996,1310988,1310996,1311004,0,0.008005078,0.005303679,0.003116707,0.0,1310996,1310988,1310996,1311004,0,0.0002282968,0.00014294901,0.00026666143,0.0,1,1,1,0,1,1,1,0
38905000,1310996,1310988,1310996,1311004,0,0.0050822124,0.0012675592,0.004826819,0.0,1310996,1310988,1310996,1311004,0,0.0008538929,0.00026429165,0.0006993654,0.0,1,1,1,0,1,1,1,0
39102000,1310996,1310988,1310996,1311004,0,0.0064313663,0.002560264,0.004492902,0.0,1310996,1310988,1310996,1311004,0,0.0007701897,0.0005383361,0.00026051156,0.0,1,1,1,0,1,1,1,0
39298000,1310996,1310988,1310996,1311004,0,0.0016045356,0.0029974608,0.00244987,0.0,1310996,1310988,1310996,1311004,0,0.00044656257,0.00028031197,0.000261743,0.0,1,1,1,0,1,1,1,0
39500000,1310996,1310988,1310996,1311004,0,0.002544008,0.0030017637,0.002443182,0.0,1310996,1310988,1310996,1311004,0,0.0004320339,0.00035248438,0.00020364363,0.0,1,1,1,0,1,1,1,0
39705000,1310996,1310988,1310996,1311004,0,0.0040226923,0.0011939859,0.005125581,0.0,1310996,1310988,1310996,1311004,0,0.00024290157,0.00021407989,0.00024741533,0.0,1,1,1,0,1,1,1,0
39899000,1310996,1310988,1310996,1311004,0,0.008272942,0.005192759,0.004834705,0.0,1310996,1310988,1310996,1311004,0,0.00056298595,0.00037109386,0.00029163912,0.0,1,1,1,0,1,1,1,0
40099000,1310996,1310988,1310996,1311004,0,0.0025433481,0.0006011315,0.0022971472,0.0,1310996,1310988,1310996,1311004,0,0.0006853385,0.000522308,0.0002038303,0.0,1,1,1,0,1,1,1,0
40299000,1310996,1310988,1310996,1311004,0,0.009237431,0.0019588456,0.0074284556,0.0,1310996,1310988,1310996,1311004,0,0.00079405674,0.00039321053,0.0005269121,0.0,1,1,1,0,1,1,1,0
40499000,1310996,1310988,1310996,1311004,0,0.008512134,0.0032216,0.005588212,0.0,1310996,1310988,1310996,1311004,0,0.0005150279,0.00017195693,0.00053282554,0.0,1,1,1,0,1,1,1,0
40700000,1310996,1310988,1310996,1311004,0,0.0050689075,0.0034461862,0.0025848192,0.0,1310996,1310988,1310996,1311004,0,0.0005312869,0.00026921212,0.00026380375,0.0,1,1,1,0,1,1,1,0
40905000,1310996,1310988,1310996,1311004,0,0.0043181414,0.0026821734,0.0065833055,0.0,1310996,1310988,1310996,1311004,0,0.00022930258,0.00016832746,0.00021236514,0.0,1,1,1,0,1,1,1,0
